197,4,a,b,c,d,e,f,i,k,l,m,n,o,p,q,r,t,u,v,w,x,y,z
74290, 78690, 54140, 13940, 1
52570, 12200, 47950, 11930, 1
64990, 76430, 41770, 19650, 1
63910, 11438, 41770, 16350, 1
73600, 39030, 26950, 27220, 2
18250, 29080, 30000, 33770, 2
19480, 27500, 21000, 23880, 2
20350, 46660, 26950, 30800, 2
39270, 38800, 36780, 19560, 3
41510, 97000, 32140, 23220, 3
46980, 62850, 40490, 26170, 3
37660, 58910, 38340, 19730, 3
39030, 165850,3788,  28340, 3
34340, 87130, 39030, 26300, 3
48950, 69680, 22690, 19560, 4
61320, 60340, 21090, 24810, 4
58910, 69680, 25170, 18020, 4
47620, 104600,25170, 18730, 4
52960, 15800, 24000, 27220, 4
48950, 22700, 25170, 18970, 4
60340, 53740, 21090, 20000, 4
51810, 42040, 41770, 19730, 5
41250, 66680, 43400, 26560, 5
49640, 67860, 45430, 25540, 5
53740, 165850,43400, 27500, 5
46040, 81880, 46040, 31130, 5 
69060, 72920, 21090, 17050, 6
56660, 74990, 21870, 14940, 6
63370, 63910, 24810, 21970, 6
63370, 40240, 38110, 16700, 6
33150, 72250, 51070, 20350, 7
21580, 79470, 55800, 26300, 7
24930, 77170, 54550, 29840, 7
15760, 68450, 54550, 29530, 7
42570, 54960, 23010, 17340, 8
63370, 24460, 18870, 19060  8
50710, 78690, 18970, 18330  8
56230, 172130,18890, 10940, 9
66110, 72250, 17710, 12080, 9
53350, 48620, 18890, 10600, 9
32670, 49640, 36360, 20170, 10
45130, 66680, 37000, 31460, 10
42840, 03030, 41510, 29380, 11
57100, 19390, 41000, 30150, 11
40740, 98500, 35530, 20090, 11
43120, 53740, 48280, 16910, 12
34930, 03370, 43960, 21190, 12
42570, 54550, 46980, 17870, 12
57100, 207000,47960, 25170, 12  
53740, 85320, 53960, 26820, 12
46040, 55380, 26560, 13130, 13
61820, 61320, 27360, 19560, 13  
34150, 66110, 34150, 19730, 13
33960, 49990, 26170, 15430, 14
35330, 87130, 28790, 18490, 14
36570, 56230, 36570, 19650, 14  
35330, 46350, 38800, 21190, 14
54140, 281400,39030, 20000, 15
51070, 41000, 39030, 19910, 15
41510, 62850, 39030, 18490, 15
51440, 23110, 18730, 23770, 15
54550, 41000, 39030, 18100, 15
28490, 32140, 35330, 16490, 16
27360, 26040, 41000, 19060, 16
19820, 37220, 40700, 20260, 16
23770, 32140, 35330, 17200, 16
21000, 15950, 17200, 22280, 17
19310, 2.1172,39350, 24690, 17
50349, 52189, 14755, 21479, 18
44834, 52957, 21972, 27635, 18
51440, 02845, 31799, 23007, 19
71592, 63374, 20354, 22481, 19
63374, 07084, 47298, 32320, 20
58912, 51812, 34733, 32496, 20
30960, 103320,47300, 16150, 21
44834, 36571, 21382, 17053, 22
71592, 06503, 26039, 23222, 22
52571, 63374, 21382, 28199, 22






