197,4,a,b,c,d,e,f,i,k,l,m,n,o,p,q,r,t,u,v,w,x,y,z
52570, 70940, 38570, 16290, 1
55380, 53740, 46660, 12820, 1
58910, 70940, 43400, 12770, 1
67860, 19300, 41770, 16420, 1
74290, 94070, 53350, 11980, 1
52570, 89990, 38570, 12320, 1
74290, 78690, 54140, 13940, 1
52570, 12200, 47950, 11930, 1
64990, 76430, 41770, 19650, 1
64450, 77170, 41770, 16290, 1
63910, 11438, 41770, 16350, 1
26170, 32500, 26300, 25540, 2
73600, 39030, 26950, 27220, 2
20910, 21580, 37880, 26170, 2
19480, 27500, 21000, 20090, 2
18250, 51070, 30000, 32670, 2
20910, 21090, 19560, 26560, 2
22690, 22580, 37880, 29530, 2
18250, 29080, 30000, 33770, 2
19480, 27500, 21000, 23880, 2
20350, 46660, 26950, 30800, 2
39270, 38800, 36780, 19560, 3
44250, 35530, 43960, 20810, 3
41510, 97000, 32140, 23220, 3
46980, 62850, 40490, 26170, 3
37660, 58910, 38340, 19730, 3
33400, 76430, 39030, 26560, 3
42840, 67270, 37880, 18810, 3
37660, 61820, 41000, 20630, 3
42840, 61820, 40490, 27090, 3
42300, 58910, 38340, 22480, 3
39030, 165850,3788,  28340, 3
34340, 87130, 39030, 26300, 3
48950, 69680, 22690, 19560, 4
61320, 63910, 25410, 21970, 4
61320, 60340, 21090, 24810, 4
58910, 69680, 25170, 18020, 4
47620, 104600,25170, 18730, 4
50350, 114380,23220, 19820, 4
52570, 59860, 23220, 25170, 4
178870,59380, 23220, 19730, 4
51440, 34540, 21770, 23660, 4
57100, 13600, 19060, 22480, 4
52960, 15800, 24000, 27220, 4
48950, 22700, 25170, 18970, 4
60340, 53740, 21090, 20000, 4
52190, 67860, 48280, 25410, 5
51810, 42040, 41770, 19730, 5
41250, 66680, 43400, 26560, 5
49640, 67860, 45430, 25540, 5
55800, 69060, 46040, 29230, 5
58450, 100860,59380, 26820, 5
51810, 70940, 44830, 19480, 5
57540, 76430, 46040, 33590, 5
49300, 71590, 46040, 31630, 5
53740, 165850,43400, 27500, 5
46040, 81880, 46040, 31130, 5
51440, 60830, 23550, 13500, 6
52960, 74990, 21870, 14000, 6
57540, 68000, 23330, 12970, 6
56660, 72920, 24810, 21380, 6
71590, 57540, 19730, 14280, 6
63370, 41770, 38110, 16290, 6
51440, 04570, 25410, 13130, 6
69060, 72920, 21090, 17130, 6
69060, 72920, 21090, 17050, 6
56660, 74990, 21870, 14940, 6
58910, 216650,38110, 16560, 6
63370, 63910, 24810, 21970, 6
63370, 40240, 38110, 16700, 6
34150, 69060, 50350, 22580, 7
18970, 77920, 51440, 24460, 7
21580, 12700, 55800, 28780, 7
26950, 84180, 54550, 30630, 7
26040, 52570, 44840, 22690, 7
34150, 69680, 50350, 18410, 7
33150, 72250, 51070, 20350, 7
21580, 79470, 55800, 26300, 7
20810, 62850, 56800, 32850, 7
24570, 72920, 54800, 30470, 7
20810, 221800,55800, 26690, 7
24930, 77170, 54550, 29840, 7
15760, 68450, 54550, 29530, 7
42570, 54960, 23010, 17340, 8
53350, 24400, 17870, 15250, 8
54140, 33770, 22380, 15950, 8
60340, 27800, 19730, 16840, 8
